Dataset for Test:car-s-91
Nodes:682	Edges29814
Connected Components:6

Subgraph 1
       Exam    Periods
---  ------  ---------
  0     520          0
  1     299          1
  2     105          2
  3     417          3
  4     445          4
  5     336          5
  6     396          6
  7     205          7
  8     334          8
  9     506          9
 10     265         10
 11     223         11
 12     485         12
 13     270         13
 14     360         14
 15     300          1
 16     658          7
 17      95         15
 18     560         16
 19     351         17
 20     392          6
 21       3         18
 22     447          4
 23     395          6
 24     482         13
 25     397          6
 26      48         14
 27     567         19
 28     559         20
 29     393          6
 30     446          4
 31     443          4
 32      17         10
 33     237         21
 34     253         16
 35     444          4
 36     487         12
 37     484         12
 38     238         17
 39     355         22
 40      59         20
 41     483         12
 42     394          6
 43     486         12
 44     353         22
 45     155         20
 46     151          3
 47     356         22
 48     157         15
 49     202          9
 50      94          2
 51     398          6
 52      20         13
 53     225         21
 54       2         23
 55     107          7
 56     507          5
 57     407         19
 58      55         24
 59     226          8
 60     160         16
 61     210         19
 62     150         25
 63      40         10
 64      50         24
 65      43         13
 66     228         15
 67     193          3
 68     566         25
 69       1         23
 70     236         18
 71     154         26
 72     218         17
 73     350         22
 74     152          2
 75      22          5
 76     227          2
 77     302         21
 78     562         26
 79     365         18
 80     354         22
 81     134         11
 82       4         27
 83     217          5
 84       6          8
 85     115         23
 86     339         10
 87     601         21
 88     419         26
 89     175         24
 90      21         27
 91     169         10
 92      45         21
 93      51         24
 94      57         24
 95     415          9
 96     240         16
 97     410         22
 98     352         17
 99     418         11
100     661         23
101     563         28
102     522         17
103     368         11
104     420         10
105     239         14
106     156         25
107     163         24
108      27         28
109     164         23
110     370         13
111     411         22
112     162         19
113     184          5
114     497         26
115     364          9
116      70         27
117     414         25
118     421         15
119     172         26
120     168          8
121     173         13
122     167         28
123     340         25
124     372         15
125      46         14
126     495         10
127     513         12
128     409         18
129     313         16
130     361         14
131     498         17
132     515         21
133     301         14
134     213         28
135     366         19
136     158          0
137     174          3
138     362         27
139     241         10
140      72          2
141     357         28
142     371         15
143     509         24
144     500          5
145     429          1
146     496         28
147     416          8
148     491         20
149     456         24
150     437         14
151     399         29
152     408          6
153     413         27
154     517         11
155     457         23
156     466          5
157     401         29
158     406         18
159     490         16
160     458         23
161     436         24
162      52         14
163     454         23
164     465         27
165     166         10
166     460         29
167      75         19
168     432         25
169     431          6
170     453          2
171     455         14
172     103          3
173     335         17
174     405         20
175      58         18
176     492         16
177      49         29
178     153         20
179     224         18
180     337         14
181     403          2
182     118          8
183      25          5
184     369         11
185     412          7
186     599          9
187     659         29
188      56         24
189      19          7
190     106         24
191     212         28
192      42         14
193      69          4
194     161          8
195     308         17
196     375         29
197     514          1
198     428          6
199     181         21
200     516          4
201     338         29
